,Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2017,Tot_Dsg_Unts_2017,Tot_Clms_2017,Avg_Spnd_Per_Dsg_Unt_Wghtd_2017,Avg_Spnd_Per_Clm_2017,Outlier_Flag_2017,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Outlier_Flag_2021
4503,Divalproex Sodium ER,Divalproex Sodium,1,Zydus Pharmaceu,7580914.82,"6,501,097","97,968",$1.17,$77.38,0.0,378101.18,"486,139.5","7,752",$0.78,$48.77,0.0,63305.79,"$94,250.00","1,515",$0.67,$41.79,0.0,2713.92,"7,074",103,$0.39,$26.35,1.0,2061.89,"1,602",21,$1.11,$98.19,1
4504,Divalproex Sodium ER,Divalproex Sodium,1,Par Pharm.,4761939.88,"4,219,544","65,647",$1.13,$72.54,0.0,1797884.61,"2,277,778","36,626",$0.79,$49.09,0.0,1285839.42,"$1,957,223.00","31,883",$0.65,$40.33,0.0,353247.74,"821,077","13,753",$0.43,$25.69,0.0,66322.78,"189,920","3,191",$0.35,$20.78,0
4505,Divalproex Sodium ER,Divalproex Sodium,1,Northstar Rx Ll,9786306.53,"9,083,629.917","134,437",$1.08,$72.79,0.0,7303953.27,"10,522,433.975","158,355",$0.69,$46.12,0.0,6237716.72,"$10,991,923.00","167,013",$0.57,$37.35,0.0,4190341.24,"9,626,468.3","145,222",$0.43,$28.85,0.0,3630243.6,"9,056,066","135,990",$0.40,$26.69,0
4506,Divalproex Sodium ER,Divalproex Sodium,1,Mylan,19955188.9,"17,419,718.774","267,443",$1.14,$74.61,0.0,11492483.4,"14,258,409.54","218,575",$0.81,$52.58,0.0,1755611.39,"$3,103,647.12","49,129",$0.57,$35.73,0.0,448816.15,"1,053,883","16,803",$0.43,$26.71,0.0,346978.89,"779,208","12,418",$0.44,$27.94,0
4507,Divalproex Sodium ER,Divalproex Sodium,1,Lupin Pharmaceu,0.0,,,,,,0.0,,,,,,0.0,,,,,,55038.83,"115,659","1,740",$0.48,$31.63,0.0,3781067.09,"9,203,638.78","136,257",$0.41,$27.75,0
4508,Divalproex Sodium ER,Divalproex Sodium,1,Global Pharm,2147453.03,"2,003,464","30,179",$1.07,$71.16,0.0,725629.89,"1,088,535","16,396",$0.67,$44.26,0.0,263651.45,"$439,271.00","6,731",$0.60,$39.17,0.0,19526.47,"49,726",747,$0.39,$26.14,0.0,884.38,"2,850",48,$0.32,$18.42,1
4509,Divalproex Sodium ER,Divalproex Sodium,1,Dr.Reddy'S Lab,23855886.37,"21,583,801.61","332,375",$1.10,$71.77,0.0,17435783.76,"23,791,571","356,874",$0.73,$48.86,0.0,18678832.84,"$32,779,369.47","489,139",$0.57,$38.19,0.0,14630930.9,"33,909,674.08","487,028",$0.43,$30.04,0.0,8504745.27,"20,497,447.034","282,746",$0.41,$30.08,0
4510,Divalproex Sodium ER,Divalproex Sodium,1,Bluepoint Labor,4695875.59,"4,206,404.7","64,115",$1.12,$73.24,0.0,2125091.91,"2,898,182.57","45,891",$0.73,$46.31,0.0,1309296.84,"$2,266,948.00","36,500",$0.58,$35.87,0.0,1090044.62,"2,539,605","39,895",$0.43,$27.32,0.0,1200369.74,"3,099,315","48,914",$0.39,$24.54,0
4511,Divalproex Sodium ER,Divalproex Sodium,1,Mylan Instituti,197484.35,"185,452.5","3,158",$1.06,$62.53,0.0,20683.61,"29,567",603,$0.70,$34.30,0.0,34702.81,"$60,722.00",976,$0.57,$35.56,0.0,6768.37,"15,463",327,$0.44,$20.70,0.0,4165.57,"11,209",240,$0.39,$17.36,1
4512,Divalproex Sodium ER,Divalproex Sodium,1,Aurobindo Pharm,18233526.62,"16,634,184.2","250,377",$1.10,$72.82,0.0,10186650.74,"15,311,522","227,920",$0.66,$44.69,0.0,8664436.41,"$15,482,436.06","231,098",$0.56,$37.49,0.0,7487913.29,"17,990,625.37","261,319",$0.42,$28.65,0.0,7840858.84,"19,222,813.5","273,751",$0.41,$28.64,0
4513,Divalproex Sodium ER,Divalproex Sodium,1,Amneal Pharmace,14590553.04,"13,429,571","205,742",$1.09,$70.92,0.0,15626256.41,"20,313,371.868","315,214",$0.77,$49.57,0.0,11931334.5,"$20,229,362.50","315,639",$0.59,$37.80,0.0,9900227.04,"23,242,686.932","354,887",$0.43,$27.90,0.0,10219766.34,"25,916,022.9","394,456",$0.39,$25.91,0
4514,Divalproex Sodium ER,Divalproex Sodium,1,Ahp,17124.83,"18,412",515,$0.93,$33.25,0.0,6704.65,"8,478",481,$0.83,$13.94,0.0,11080.15,"$19,544.00",575,$0.58,$19.27,0.0,5247.66,"7,383",367,$0.71,$14.30,0.0,3110.96,"3,969",356,$0.81,$8.74,0
4515,Divalproex Sodium ER,Divalproex Sodium,1,Major Pharmaceu,29409.73,"15,350",467,$1.88,$62.98,0.0,15102.29,"19,794",603,$0.76,$25.05,0.0,114895.28,"$176,332.00","2,988",$0.65,$38.45,0.0,13548.99,"25,339.5",856,$0.54,$15.83,0.0,8501.49,"13,128",718,$0.65,$11.84,0
4516,Divigel,Estradiol,1,Overall,309502.7,"82,531","2,389",$3.76,$129.55,0.0,404714.27,"98,269.033","2,911",$4.12,$139.03,0.0,509798.53,"$117,068.00","3,379",$4.36,$150.87,0.0,698945.75,"154,075.35","4,100",$4.55,$170.47,0.0,813570.95,"166,699.2","4,285",$4.89,$189.86,0
4517,Divigel,Estradiol,1,Vertical/Avion,309502.7,"82,531","2,389",$3.76,$129.55,0.0,404714.27,"98,269.033","2,911",$4.12,$139.03,0.0,509798.53,"$117,068.00","3,379",$4.36,$150.87,0.0,698945.75,"154,075.35","4,100",$4.55,$170.47,0.0,813570.95,"166,699.2","4,285",$4.89,$189.86,0
4518,Dobutamine HCl,Dobutamine HCl,1,Overall,302681.29,"1,068,698.94","5,573",$0.28,$54.31,0.0,299271.49,"1,259,312.37","4,676",$0.24,$64.00,0.0,316830.68,"$1,252,633.01","5,071",$0.25,$62.48,0.0,248266.9,"979,945.616","4,877",$0.25,$50.91,0.0,217241.03,"691,045.946","3,710",$0.31,$58.56,0
4519,Dobutamine HCl,Dobutamine HCl,1,Hospira/Pfizer,302681.29,"1,068,698.94","5,573",$0.28,$54.31,0.0,299271.49,"1,259,312.37","4,676",$0.24,$64.00,0.0,316830.68,"$1,252,633.01","5,071",$0.25,$62.48,0.0,248266.9,"979,945.616","4,877",$0.25,$50.91,0.0,217241.03,"691,045.946","3,710",$0.31,$58.56,0
4520,Dobutamine HCl-D5W,Dobutamine HCl In Dextrose 5 %,2,Overall,586649.77,"5,922,750.264","7,883",$0.12,$74.42,0.0,419232.61,"5,310,950.275","6,998",$0.09,$59.91,0.0,837334.01,"$4,641,508.18","7,591",$0.20,$110.31,0.0,966543.18,"4,740,513.534","6,565",$0.25,$147.23,0.0,870678.85,"5,641,132.893","8,335",$0.17,$104.46,0
4521,Dobutamine HCl-D5W,Dobutamine HCl In Dextrose 5 %,1,Hospira/Pfizer,220887.94,"3,266,923.912","3,276",$0.08,$67.43,0.0,164677.64,"2,688,454.375","2,834",$0.08,$58.11,0.0,167925.36,"$932,592.50","2,657",$0.20,$63.20,0.0,65028.68,"553,140.03","1,481",$0.13,$43.91,0.0,99522.05,"695,592.54","1,405",$0.15,$70.83,0
4522,Dobutamine HCl-D5W,Dobutamine HCl In Dextrose 5 %,1,Baxter Healthca,365761.83,"2,655,826.352","4,607",$0.15,$79.39,0.0,254554.97,"2,622,495.9","4,164",$0.10,$61.13,0.0,669408.65,"$3,708,915.68","4,934",$0.19,$135.67,0.0,901514.5,"4,187,373.504","5,084",$0.28,$177.32,0.0,771156.8,"4,945,540.353","6,930",$0.17,$111.28,0
4523,Docefrez,Docetaxel,1,Overall,204753.88,743.891,202,$410.60,"$1,013.63",1.0,28413.27,60.684,31,$468.22,$916.56,1.0,2627.28,$35.48,47,$74.06,$55.90,1.0,0.0,,,,,,1360.17,8.052,11,$168.92,$123.65,1
4524,Docefrez,Docetaxel,1,Sun Pharma Glob,204753.88,743.891,202,$410.60,"$1,013.63",1.0,28413.27,60.684,31,$468.22,$916.56,1.0,2627.28,$35.48,47,$74.06,$55.90,1.0,0.0,,,,,,1360.17,8.052,11,$168.92,$123.65,1
4525,Docetaxel,Docetaxel,18,Overall,25781646.56,"252,942.987","27,184",$125.84,$948.41,1.0,20568584.8,"233,472.562","26,233",$114.88,$784.07,1.0,14736008.45,"$235,835.11","25,446",$80.51,$579.11,1.0,10417641.71,"234,534.052","25,992",$57.16,$400.80,1.0,8440215.0,"231,941.51","24,193",$43.75,$348.87,1
4526,Docetaxel,Docetaxel,1,Winthrop US,4517509.6,"19,361.494","3,846",$233.28,"$1,174.60",0.0,2705350.4,"13,560.644","2,907",$201.07,$930.63,1.0,3057060.12,"$13,794.94","2,563",$214.84,"$1,192.77",1.0,2335802.08,"12,583.835","2,510",$173.70,$930.60,1.0,1351489.0,"10,722.157","1,985",$119.04,$680.85,1
4527,Docetaxel,Docetaxel,1,"Xiromed, LLC",0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,12980.21,288.8,25,$40.82,$519.21,1
4528,Docetaxel,Docetaxel,1,Sandoz/Novaplus,293669.86,"7,389.731",553,$41.24,$531.05,1.0,335411.14,"7,321.75",597,$45.08,$561.83,1.0,295947.07,"$8,999.90",706,$33.39,$419.19,1.0,295074.75,"7,886.9",651,$36.96,$453.26,1.0,184337.75,"3,794.832",306,$48.74,$602.41,1
4529,Docetaxel,Docetaxel,1,Sagent Pharmace,87335.11,325.403,66,$260.04,"$1,323.26",1.0,55599.1,"2,871.3",257,$23.21,$216.34,1.0,201799.26,"$5,602.28",613,$38.97,$329.20,1.0,152120.7,"5,484.95",778,$27.76,$195.53,1.0,354410.94,"7,946.45",782,$57.50,$453.21,1
4530,Docetaxel,Docetaxel,1,Mylan Instituti,0.0,,,,,,53484.73,754.2,55,$70.06,$972.45,1.0,819259.79,"$14,029.55",964,$67.20,$849.85,1.0,461767.54,"24,564.923","1,473",$19.10,$313.49,1.0,573548.96,"22,083.175","1,513",$30.16,$379.08,1
4531,Docetaxel,Docetaxel,1,Ingenus Pharmac,0.0,,,,,,261092.44,"7,347.6",517,$37.68,$505.01,1.0,509738.36,"$21,849.49","1,532",$29.23,$332.73,1.0,561597.18,"28,401.13","2,252",$20.98,$249.38,1.0,665537.87,"37,639.44","2,823",$17.66,$235.76,1
4532,Docetaxel,Docetaxel,1,Sandoz,4939913.99,"56,201.189","4,683",$87.69,"$1,054.86",1.0,3175035.87,"53,462.97","4,136",$59.32,$767.66,1.0,2400960.33,"$51,508.46","4,083",$46.58,$588.04,1.0,1401137.24,"32,369.53","2,774",$42.37,$505.10,1.0,437634.46,"22,264.47","1,803",$19.89,$242.73,1
4533,Docetaxel,Docetaxel,1,Sun Pharma Glob,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,141761.26,"2,414.3",220,$72.58,$644.37,1
4534,Docetaxel,Docetaxel,1,Hospira/Pfizer,7092748.17,"108,881.801","8,799",$65.08,$806.09,1.0,3595152.79,"73,647.107","6,524",$51.48,$551.07,1.0,1342934.21,"$42,019.14","3,086",$35.97,$435.17,1.0,964838.45,"46,899.851","3,003",$21.83,$321.29,1.0,1334702.22,"41,568.103","3,255",$31.73,$410.05,1
4535,Docetaxel,Docetaxel,1,Hosp/Pfiz-Premi,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,13848.49,199.15,29,$64.06,$477.53,1
4536,Docetaxel,Docetaxel,1,Eagle Pharmaceu,1962763.1,"12,196.62","1,908",$161.03,"$1,028.70",1.0,1451695.37,"5,765.37",853,$247.27,"$1,701.87",1.0,205309.55,"$1,828.93",311,$113.98,$660.16,1.0,124116.29,431.05,79,$260.99,"$1,571.09",1.0,32618.74,237.95,37,$138.94,$881.59,1
4537,Docetaxel,Docetaxel,1,Dr.Reddy'S Lab,901867.7,"3,960.53",662,$223.76,"$1,362.34",0.0,337054.62,"2,017.95",370,$168.42,$910.96,1.0,116809.69,"$1,709.25",364,$68.76,$320.91,1.0,72560.44,"2,015.05",342,$32.00,$212.17,1.0,18966.2,"1,975.75",170,$10.38,$111.57,1
4538,Docetaxel,Docetaxel,1,Dr. Reddy'S/Nov,0.0,,,,,,839756.6,"2,224.85",244,$684.27,"$3,441.63",1.0,208692.97,"$1,655.10",327,$127.97,$638.20,1.0,49901.69,"1,292.6",217,$46.66,$229.96,1.0,27397.14,618.85,112,$44.58,$244.62,1
4539,Docetaxel,Docetaxel,1,Baxter Healthca,0.0,,,,,,51380.19,"1,175.5",108,$45.71,$475.74,1.0,236208.09,"$4,349.95",310,$76.64,$761.96,1.0,76408.93,"4,443.2",322,$17.28,$237.29,1.0,30996.16,"2,784.728",142,$11.09,$218.28,1
4540,Docetaxel,Docetaxel,1,Auromedics Phar,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,7151.2,266,11,$112.15,$650.11,1
4541,Docetaxel,Docetaxel,1,Armas Pharmaceu,0.0,,,,,,0.0,,,,,,0.0,,,,,,52828.89,353.6,98,$171.21,$539.07,1.0,20348.11,488.4,83,$44.19,$245.16,1
4542,Docetaxel,Docetaxel,1,Actavis/Teva,77078.31,285.5,57,$280.17,"$1,352.25",1.0,72523.18,"2,434.9",112,$64.08,$647.53,1.0,29555.15,"$2,175.75",114,$25.11,$259.26,1.0,99045.19,782.45,142,$139.07,$697.50,1.0,37746.36,"1,466.7",138,$23.85,$273.52,1
4543,Docetaxel,Docetaxel,1,Accord Healthca,5908760.72,"44,340.719","6,610",$155.69,$893.91,1.0,7635048.37,"60,888.421","9,553",$140.20,$799.23,1.0,5311733.86,"$66,312.36","10,473",$86.98,$507.18,1.0,3770442.34,"67,024.983","11,351",$58.31,$332.17,1.0,3194739.93,"75,182.255","10,759",$45.28,$296.94,1
4544,Docusate Calcium,Docusate Calcium,1,Overall,0.0,,,,,,640.63,"2,046",60,$0.31,$10.68,1.0,280.0,"$1,536.00",55,$0.18,$5.09,1.0,968.64,"2,515",96,$0.39,$10.09,1.0,566.74,"2,093",119,$0.27,$4.76,1
4545,Docusate Calcium,Docusate Calcium,1,Avpak,0.0,,,,,,640.63,"2,046",60,$0.31,$10.68,1.0,280.0,"$1,536.00",55,$0.18,$5.09,1.0,968.64,"2,515",96,$0.39,$10.09,1.0,566.74,"2,093",119,$0.27,$4.76,1
4546,Docusate Sodium,Docusate Sodium,2,Overall,7048.0,"44,111",938,$0.16,$7.51,1.0,4921.77,"48,688",963,$0.10,$5.11,0.0,5765.23,"$93,691.00","1,716",$0.06,$3.36,0.0,9354.34,"95,016","1,768",$0.10,$5.29,0.0,3273.85,"27,089",549,$0.12,$5.96,1
4547,Docusate Sodium,Docusate Sodium,1,Pharbest Pharma,7048.0,"44,111",938,$0.16,$7.51,1.0,4921.77,"48,688",963,$0.10,$5.11,0.0,5684.9,"$93,059.00","1,704",$0.06,$3.34,0.0,9128.96,"93,857","1,746",$0.10,$5.23,0.0,2384.52,"22,882",450,$0.10,$5.30,1
4548,Docusate Sodium,Docusate Sodium,1,Avpak,0.0,,,,,,0.0,,,,,,80.33,$632.00,12,$0.13,$6.69,1.0,225.38,"1,159",22,$0.19,$10.24,1.0,889.33,"4,207",99,$0.21,$8.98,1
4549,Dofetilide,Dofetilide,9,Overall,4481448.95,"768,292.206","12,064",$5.84,$371.47,0.0,4215119.11,"917,189.072","14,126",$4.59,$298.39,0.0,3816125.15,"$1,019,716.00","15,236",$3.74,$250.47,0.0,3038628.89,"1,180,730","16,003",$2.57,$189.88,0.0,2748754.37,"1,285,012","15,912",$2.15,$172.75,0
4550,Dofetilide,Dofetilide,1,Sigmapharm Labo,0.0,,,,,,5639.91,"1,500",25,$3.76,$225.60,1.0,229666.85,"$64,762.00",991,$3.54,$231.75,0.0,323214.72,"139,345","1,982",$2.32,$163.08,0.0,102764.32,"57,664",787,$1.79,$130.58,0
4551,Dofetilide,Dofetilide,1,Novadoz Pharmac,0.0,,,,,,0.0,,,,,,0.0,,,,,,42467.12,"18,393",221,$2.35,$192.16,0.0,219277.01,"99,766","1,174",$2.20,$186.78,0
4552,Dofetilide,Dofetilide,1,Northstar Rx Ll,0.0,,,,,,104038.91,"22,482",354,$4.63,$293.90,0.0,602806.58,"$165,348.00","2,486",$3.64,$242.48,0.0,521034.56,"207,124","2,834",$2.52,$183.85,0.0,235885.8,"116,232","1,386",$2.05,$170.19,0
4553,Dofetilide,Dofetilide,1,Sun Pharma Glob,0.0,,,,,,0.0,,,,,,11309.55,"$4,414.00",68,$2.57,$166.32,1.0,238875.82,"98,135","1,321",$2.44,$180.83,0.0,541836.53,"317,771","3,786",$1.71,$143.12,0
4554,Dofetilide,Dofetilide,1,Mayne Pharma In,3133048.35,"540,006.206","8,458",$5.81,$370.42,0.0,2488281.97,"536,760.072","8,239",$4.63,$302.01,0.0,544341.48,"$138,911.00","2,068",$3.92,$263.22,0.0,145022.61,"57,555",820,$2.50,$176.86,0.0,83256.18,"41,752",570,$2.01,$146.06,0
4555,Dofetilide,Dofetilide,1,Greenstone LLC.,1348400.6,"228,286","3,606",$5.91,$373.93,0.0,1303589.18,"283,500","4,433",$4.60,$294.06,0.0,918168.77,"$241,990.00","3,636",$3.79,$252.52,0.0,219669.59,"86,629","1,225",$2.53,$179.32,0.0,7299.33,"3,702",61,$2.00,$119.66,1
4556,Dofetilide,Dofetilide,1,Bionpharma Inc.,0.0,,,,,,313569.14,"72,947","1,075",$4.30,$291.69,0.0,1503106.78,"$402,581.00","5,963",$3.73,$252.07,0.0,1255095.59,"484,148","6,315",$2.59,$198.75,0.0,1021126.57,"434,167","5,154",$2.35,$198.12,0
4557,Dofetilide,Dofetilide,1,Aurobindo Pharm,0.0,,,,,,0.0,,,,,,6725.14,"$1,710.00",24,$3.92,$280.21,1.0,265763.77,"78,041","1,115",$3.42,$238.35,0.0,282444.5,"85,510","1,149",$3.30,$245.82,0
4558,Dofetilide,Dofetilide,1,Accord Healthca,0.0,,,,,,0.0,,,,,,0.0,,,,,,27485.11,"11,360",170,$2.41,$161.68,1.0,254864.13,"128,448","1,845",$1.98,$138.14,0
4559,Dojolvi,TriHEPtanoin,1,Overall,0.0,,,,,,0.0,,,,,,0.0,,,,,,1626984.81,"168,691",108,$9.64,"$15,064.67",0.0,10531060.73,"1,102,517",704,$9.55,"$14,958.89",0
4560,Dojolvi,TriHEPtanoin,1,Ultragenyx Phar,0.0,,,,,,0.0,,,,,,0.0,,,,,,1626984.81,"168,691",108,$9.64,"$15,064.67",0.0,10531060.73,"1,102,517",704,$9.55,"$14,958.89",0
4561,Dolishale,Levonorgestrel/Ethin.Estradiol,1,Overall,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,33887.03,"27,188",615,$1.25,$55.10,0
4562,Dolishale,Levonorgestrel/Ethin.Estradiol,1,Ingenus Pharmac,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,33887.03,"27,188",615,$1.25,$55.10,0
4563,Donepezil HCl,Donepezil HCl,16,Overall,4334877.86,"11,164,931.5","364,598",$0.39,$11.89,0.0,3949228.03,"11,281,874","364,910",$0.35,$10.82,0.0,3884235.64,"$11,547,443.30","366,330",$0.34,$10.60,0.0,3233267.89,"11,308,265.58","339,685",$0.29,$9.52,0.0,3094291.83,"11,248,487.842","325,936",$0.28,$9.49,0
4564,Donepezil HCl,Donepezil HCl,1,Vensun/Strides,64972.46,"201,291","6,577",$0.32,$9.88,0.0,46637.32,"164,005.5","5,096",$0.28,$9.15,0.0,25830.34,"$85,906.00","2,754",$0.30,$9.38,0.0,5391.67,"24,710",761,$0.22,$7.08,0.0,3428.33,"16,266",470,$0.21,$7.29,0
4565,Donepezil HCl,Donepezil HCl,1,Torrent Pharmac,514614.13,"1,397,051.5","48,827",$0.37,$10.54,0.0,489101.83,"1,470,931","51,975",$0.33,$9.41,0.0,224344.96,"$651,051.00","20,759",$0.34,$10.81,0.0,119568.6,"431,482","11,691",$0.28,$10.23,0.0,124725.57,"428,978","10,910",$0.29,$11.43,0
4566,Donepezil HCl,Donepezil HCl,1,Sun Pharmaceuti,10262.5,"36,994","1,194",$0.28,$8.60,0.0,3407.57,"11,612",372,$0.29,$9.16,0.0,2233.92,"$5,596.00",183,$0.40,$12.21,1.0,420.8,854,29,$0.49,$14.51,1.0,193.39,480,14,$0.41,$13.81,1
4567,Donepezil HCl,Donepezil HCl,1,Strides Pharma,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,270.88,"3,024",87,$0.09,$3.11,1
4568,Donepezil HCl,Donepezil HCl,1,Solco Healthcar,2090998.3,"5,917,314.5","193,144",$0.35,$10.83,0.0,1793070.37,"5,577,859","180,354",$0.32,$9.94,0.0,1970672.8,"$6,485,509.50","205,965",$0.30,$9.57,0.0,1774593.11,"6,933,832.8","210,328",$0.26,$8.44,0.0,2002837.0,"8,125,112.112","233,524",$0.25,$8.58,0
4569,Donepezil HCl,Donepezil HCl,1,TWI Pharmaceuti,187282.34,"43,860","1,497",$4.27,$125.11,0.0,74723.44,"27,385",952,$2.73,$78.49,0.0,61814.74,"$26,308.00",888,$2.35,$69.61,0.0,31589.66,"19,978",677,$1.58,$46.66,0.0,35918.78,"24,720.03",803,$1.45,$44.73,0
4570,Donepezil HCl,Donepezil HCl,1,Sandoz,40771.56,"86,642","2,815",$0.47,$14.48,0.0,14344.76,"22,148",670,$0.65,$21.41,1.0,1850.66,"$6,493.00",191,$0.29,$9.69,1.0,312.72,"1,642",53,$0.19,$5.90,1.0,12.18,330,11,$0.04,$1.11,1
4571,Donepezil HCl,Donepezil HCl,1,Major Pharmaceu,21464.37,"62,670","2,241",$0.34,$9.58,0.0,9005.74,"23,627.5",907,$0.38,$9.93,0.0,4431.23,"$11,113.00",494,$0.41,$8.97,0.0,2332.13,"7,697",401,$0.30,$5.82,0.0,2840.72,"7,238",372,$0.39,$7.64,0
4572,Donepezil HCl,Donepezil HCl,1,Macleods Pharma,819132.98,"1,894,998.5","62,127",$0.44,$13.18,0.0,802136.49,"1,895,685.5","61,116",$0.42,$13.12,0.0,825464.68,"$1,952,887.50","62,305",$0.43,$13.25,0.0,768130.82,"2,065,470.78","63,617",$0.37,$12.07,0.0,694586.25,"1,966,946.5","58,865",$0.36,$11.80,0
4573,Donepezil HCl,Donepezil HCl,1,Lupin Pharmaceu,53059.65,"14,553",470,$3.65,$112.89,0.0,32446.6,"13,288",413,$2.44,$78.56,0.0,33034.54,"$15,957.00",519,$2.07,$63.65,0.0,24147.82,"14,840",438,$1.63,$55.13,0.0,28777.08,"12,410",313,$2.32,$91.94,1
4574,Donepezil HCl,Donepezil HCl,1,Jubilant Cadist,295124.78,"1,136,885","32,340",$0.26,$9.13,0.0,356532.46,"1,260,960","35,624",$0.28,$10.01,0.0,367363.54,"$1,292,617.00","36,931",$0.28,$9.95,0.0,274500.58,"1,078,964","26,709",$0.25,$10.28,0.0,35032.12,"115,737","3,449",$0.30,$10.16,0
4575,Donepezil HCl,Donepezil HCl,1,Dr.Reddy'S Lab,119684.17,"29,042",980,$4.13,$122.13,0.0,86055.26,"30,316",983,$2.83,$87.54,0.0,52100.05,"$20,411.00",643,$2.55,$81.03,0.0,29764.12,"18,354",540,$1.61,$55.12,0.0,32670.15,"21,341",564,$1.52,$57.93,0
4576,Donepezil HCl,Donepezil HCl,1,Camber Pharmace,56614.72,"171,761","5,604",$0.33,$10.10,0.0,177611.17,"571,925","18,555",$0.31,$9.57,0.0,264075.73,"$828,131.30","28,481",$0.32,$9.27,0.0,188080.31,"673,960","22,767",$0.28,$8.26,0.0,129009.01,"514,339.1","15,918",$0.25,$8.10,0
4577,Donepezil HCl,Donepezil HCl,1,Aurobindo Pharm,0.0,,,,,,1936.53,"3,880",307,$0.56,$6.31,1.0,2116.52,"$5,868.00",439,$0.41,$4.82,1.0,817.83,"4,050",237,$0.22,$3.45,1.0,134.4,"1,350",45,$0.10,$2.99,1
4578,Donepezil HCl,Donepezil HCl,1,Alembic Pharmac,59666.62,"170,026","6,609",$0.35,$9.03,0.0,61600.3,"207,023","7,440",$0.30,$8.28,0.0,48052.82,"$157,612.00","5,635",$0.30,$8.53,0.0,9911.42,"30,364","1,308",$0.34,$7.58,0.0,2609.02,"8,582",384,$0.33,$6.79,0
4579,Donepezil HCl,Donepezil HCl,1,Ahp,1229.28,"1,843",173,$0.91,$7.11,1.0,618.19,"1,228.5",146,$1.10,$4.23,1.0,849.11,"$1,983.00",143,$0.48,$5.94,1.0,3706.3,"2,067",129,$1.69,$28.73,1.0,1246.95,"1,634.1",207,$0.80,$6.02,1
4580,Donepezil HCl ODT,Donepezil HCl,3,Overall,32912.29,"45,537","1,450",$0.72,$22.70,0.0,45002.0,"70,897","2,190",$0.63,$20.55,0.0,42101.85,"$71,836.00","2,138",$0.59,$19.69,0.0,31125.7,"67,041","1,779",$0.46,$17.50,0.0,32378.57,"68,532","1,826",$0.47,$17.73,0
4581,Donepezil HCl ODT,Donepezil HCl,1,Sandoz,9474.13,"11,618",375,$0.81,$25.26,0.0,6433.45,"6,863",216,$0.92,$29.78,0.0,1692.12,"$2,870.00",83,$0.60,$20.39,1.0,448.66,"1,320",38,$0.34,$11.81,1.0,177.92,420,14,$0.42,$12.71,1
4582,Donepezil HCl ODT,Donepezil HCl,1,Macleods Pharma,23438.16,"33,919","1,075",$0.69,$21.80,0.0,31114.59,"53,697","1,652",$0.58,$18.83,0.0,29347.92,"$52,021.00","1,537",$0.56,$19.09,0.0,30268.92,"64,347","1,699",$0.47,$17.82,0.0,32104.93,"67,662","1,797",$0.47,$17.87,0
4583,Donepezil HCl ODT,Donepezil HCl,1,Unichem Pharmac,0.0,,,,,,7453.96,"10,337",322,$0.71,$23.15,0.0,11061.81,"$16,945.00",518,$0.65,$21.35,0.0,408.12,"1,374",42,$0.30,$9.72,1.0,95.72,450,15,$0.21,$6.38,1
4584,Donnatal,Phenobarb/Hyoscy/Atropine/Scop,1,Overall,0.0,,,,,,14920.54,"2,318",28,$6.44,$532.88,1.0,2969.77,$355.00,13,$8.37,$228.44,1.0,353.24,47.252,24,$7.48,$14.72,1.0,187.91,42.756,24,$4.39,$7.83,1
4585,Donnatal,Phenobarb/Hyoscy/Atropine/Scop,1,Vistapharm,0.0,,,,,,14920.54,"2,318",28,$6.44,$532.88,1.0,2969.77,$355.00,13,$8.37,$228.44,1.0,353.24,47.252,24,$7.48,$14.72,1.0,187.91,42.756,24,$4.39,$7.83,1
4586,Dopamine HCl,Dopamine HCl,2,Overall,248968.59,"7,974",282,$33.68,$882.87,0.0,19340.63,"25,521",91,$0.76,$212.53,1.0,1182.52,$437.00,66,$5.99,$17.92,1.0,1554.61,"2,297",52,$1.38,$29.90,1.0,3570.21,"2,815.4",94,$1.64,$37.98,1
4587,Dopamine HCl,Dopamine HCl,1,West-Ward/Hikma,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,185.69,857,15,$2.01,$12.38,1
